Date,Country,City,State,Shape,Summary,lat,lon
16-01-12-17-30,USA,Montgomery,AL,Circle,REDACTED,40.854156,-78.2711029
16-01-12-16-30,USA,Asbury Park,NJ,Oval,REDACTED,40.2203907,-74.0120816
16-11-30-23-45,USA,Edmonds,WA,Changing,REDACTED,47.8105738,-122.3774951
16-11-30-23-30,USA,Camp Shelby,MS,Unknown,REDACTED,31.1975317,-89.2078257
16-11-30-21-00,USA,Riverton,WY,Circle,REDACTED,38.515529,-121.5321489
16-11-30-20-40,USA,Radcliff,KY,Triangle,REDACTED,37.8403456,-85.9491297
16-11-30-20-00,USA,Kingsland,GA,Unknown,REDACTED,30.7999563,-81.689826
16-11-30-19-30,USA,Fayetteville,TX,Triangle,REDACTED,29.9057817,-96.6727527
16-11-29-23-30,USA,Belmont,MI,Circle,REDACTED,40.0057737,-81.0097515
16-11-29-22-47,USA,Bridgeport,WV,Oval,REDACTED,39.2864787,-80.256198
16-11-29-22-27,USA,American Canyon,CA,Triangle,REDACTED,38.223457,-122.227043
16-11-29-22-15,USA,Colorado Springs,CO,Triangle,REDACTED,38.8339578,-104.8253484
16-11-29-21-00,CANADA,Niagara Falls,ON,Circle,REDACTED,43.1089442,-79.0636192
16-11-29-20-15,USA,Carlinville,IL,Rectangle,REDACTED,39.2797699,-89.8817661
16-11-29-19-45,USA,Fairfield,CA,Changing,REDACTED,38.2493581,-122.0399662
16-11-29-19-45,USA,Englewood,CO,Unknown,REDACTED,39.6482059,-104.987964
16-11-29-19-00,USA,Corona,CA,Circle,REDACTED,37.0066161,-121.9969062
16-11-29-18-50,USA,Midland,MI,Triangle,REDACTED,43.6155825,-84.2472116
16-11-29-18-20,USA,Janesville,WI,Other,REDACTED,42.7151854,-88.9907742
16-11-29-12-10,USA,Plainfield,IL,Changing,REDACTED,41.623191,-88.2284325
16-11-29-06-45,USA,Happy Valley,OR,Circle,REDACTED,43.1358923,-122.3804695
16-11-29-06-00,USA,Anchor Point,AK,Fireball,REDACTED,59.76826,-151.6775519
16-11-29-00-17,USA,Fishers,IN,Triangle,REDACTED,39.9555928,-86.0138728
16-11-28-23-00,USA,Sutherlin,OR,Other,REDACTED,43.3896628,-123.3123597
16-11-28-23-00,USA,Tazewell,VA,Circle,REDACTED,37.1236041,-81.5684128
16-11-28-22-00,USA,Athol,MA,Light,REDACTED,42.5959203,-72.2267496
16-11-28-19-00,USA,American Canyon,CA,Chevron,REDACTED,38.223457,-122.227043
16-11-28-18-48,USA,Ste. Genevieve,MO,Light,REDACTED,37.9814415,-90.0417789
16-11-28-18-35,USA,St. Petersburg,FL,Circle,REDACTED,27.77330515,-82.6469933
16-11-28-18-30,USA,Waynesville,MO,Light,REDACTED,37.8286516,-92.2007226
16-11-28-18-00,USA,Seekonk,RI,Circle,REDACTED,41.8674548,-71.3797769
16-11-28-17-15,USA,Vineland,NJ,Changing,REDACTED,39.473152,-75.0020264
16-11-28-16-45,USA,Fairfield,ME,Cross,REDACTED,44.588511,-69.5990749
16-11-28-06-51,USA,Athens,GA,Cigar,REDACTED,33.94385375,-83.3972898
16-11-28-06-00,USA,Centerville,IL,Fireball,REDACTED,31.2579584,-95.9782919
16-11-28-01-29,USA,Mooresville,NC,Light,REDACTED,35.5848596,-80.8100723
16-11-28-00-00,USA,Grand Junction,CO,Unknown,REDACTED,39.063956,-108.5507316
16-11-27-22-15,CANADA,Carrying Place,ON,Light,REDACTED,43.8088119,-79.2334018
16-11-27-19-30,USA,St. Petersburg,FL,Circle,REDACTED,27.77330515,-82.6469933
16-11-27-16-58,USA,Bay Shore,NY,Light,REDACTED,40.7250986,-73.2453945
16-11-27-12-45,USA,Longmont,CO,Rectangle,REDACTED,40.1672117,-105.1019286
16-11-27-12-35,USA,Kenmore,WA,Circle,REDACTED,47.7573202,-122.2440147
16-11-27-11-30,USA,Maui,HI,Unknown,REDACTED,20.8029568,-156.3106832
16-11-27-10-00,USA,Allentown,PA,Fireball,REDACTED,40.6022059,-75.4712793
16-11-27-03-20,USA,Lake Charles,LA,Light,REDACTED,30.2265949,-93.2173758
16-11-27-00-07,USA,Raymond,NE,Circle,REDACTED,40.956282,-96.7834109
16-11-26-23-42,USA,Bailey,CO,Disk,REDACTED,34.0349194,-102.8149371
16-11-26-23-33,USA,Bergen,NY,Triangle,REDACTED,43.085391,-77.9417139
16-11-26-23-30,USA,Middletown,NY,Light,REDACTED,41.4459271,-74.422934
16-11-26-22-30,USA,Charlotte,NC,Light,REDACTED,35.2270869,-80.8431267
16-11-26-22-00,USA,Davenport,FL,Circle,REDACTED,28.1614046,-81.6017416
